German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
"das Girokonto, die Girokonten",checking account,Sie müssen das Geld auf Ihr Girokonto überweisen.,Sie müssen das Geld auf Ihr Girokonto überweisen.,Sie müssen das Geld auf Ihr __ überweisen.,,media/azure-bf78fc69-ad963325-3cc2ade0-4991733f-f76460d6.mp3,media/azure-2751a278-80b3cd5f-aa4ceb67-a62dc375-4c9c13b7.mp3
"der Bankschalter, die Bankschalter",bank counter,Ich muss am Bankschalter Geld abheben.,Ich muss am Bankschalter Geld abheben.,Ich muss am __ Geld abheben.,,media/azure-bddb09df-d3ce7dfe-7c2d5839-a859a074-57c6ff6e.mp3,media/azure-af15d546-7e0cbac7-523b0312-f0344b6d-a16ef119.mp3
das Bargeld,cash,Sie können nur mit Bargeld bezahlen.,Sie können nur mit Bargeld bezahlen.,Sie können nur mit __ bezahlen.,,media/azure-22348d54-af8398cc-e78a2bbd-6001d814-53c6afb1.mp3,media/azure-aa16b29b-93ab0aac-c5629f2e-79de6908-97b6c4e7.mp3
"der Geldschein, die Geldscheine",banknote,Der Geldschein war 50 Euro wert.,Der Geldschein war 50 Euro wert.,__ war 50 Euro wert.,,media/azure-a0c29199-3a02c76b-303722f8-4bc4ee3f-7b935591.mp3,media/azure-719ef6a2-44dc44e4-efcd697c-92c77bd1-583846f7.mp3
das Kleingeld,small change,Ich habe kein Kleingeld.,Ich habe kein Kleingeld.,Ich habe kein __.,,media/azure-1a21274d-8a91b4a8-9585868b-93807d6f-03802502.mp3,media/azure-52691d70-f81e96f9-62faa8be-e83d9ddd-5ef3bb9f.mp3
"das Sparkonto, die Sparkonten",savings account,Sie haben ein Sparkonto bei dieser Bank.,Sie haben ein Sparkonto bei dieser Bank.,Sie haben ein __ bei dieser Bank.,,media/azure-95261d6a-61b128f8-1501def4-9d67f1ab-92e1bfc6.mp3,media/azure-8b5cadd9-d3b1a5b9-aa197273-a9be6080-61ec5132.mp3
die Kontoführungsgebühr,account maintenance fee,Die Bank erhebt eine monatliche Kontoführungsgebühr.,Die Bank erhebt eine monatliche Kontoführungsgebühr.,Die Bank erhebt eine monatliche __.,,media/azure-58b0b6e4-677ed914-702c0077-dd709169-e43c1e83.mp3,media/azure-64c33889-278512db-72c7972d-2d692006-814061f5.mp3
"die Bankkarte, die Bankkarten",bank card,Ich habe meine Bankkarte verloren.,Ich habe meine Bankkarte verloren.,Ich habe meine __ verloren.,,media/azure-9a8fe9e9-9b9fe3dc-b8fd7425-d6aa348a-ebc54fb7.mp3,media/azure-c44fb627-de3fdce7-cdd4a82d-98a8476d-93842e87.mp3
Geld abheben,to withdraw money,Du kannst Geld am Automaten abheben.,Du kannst Geld am Automaten abheben.,Du kannst __ am Automaten __.,,media/azure-a8821487-063e9fdb-20c67ff7-7fcae60e-f9a171d6.mp3,media/azure-e8e61b10-dec91c81-5d11532c-5fad9f45-b592d339.mp3
Geld einzahlen,to deposit money,Ich möchte Geld auf mein Konto einzahlen.,Ich möchte Geld auf mein Konto einzahlen.,Ich möchte __ auf mein Konto __.,,media/azure-bc64539b-9df689eb-26688356-c65e6561-25e4d3c7.mp3,media/azure-f207bbf5-51a9c4b4-e878da3c-1b43fa59-9d41c4de.mp3
Geld überweisen,to transfer money,Ich werde das Geld morgen überweisen.,Ich werde das Geld morgen überweisen.,Ich werde __ morgen __.,,media/azure-79aaea78-e477bfcd-dc9010d2-4146ee34-2da87ecc.mp3,media/azure-1e114de0-64e7eddd-84b1b158-b54c22ef-6ea5d0d4.mp3
"die Überweisung, die Überweisungen",bank transfer,Die Überweisung wurde erfolgreich abgeschlossen.,Die Überweisung wurde erfolgreich abgeschlossen.,__ wurde erfolgreich abgeschlossen.,,media/azure-e435cb97-b449f858-021adc41-36b59ae0-e3a25a93.mp3,media/azure-3e16f1fd-7e2a34c2-eedee880-321d2fa0-337aa534.mp3
"die Gebühr, die Gebühren",fee,Die Gebühr für die Nutzung des Geldautomaten ist 2 Euro.,Die Gebühr für die Nutzung des Geldautomaten ist 2 Euro.,__ für die Nutzung des Geldautomaten ist 2 Euro.,,media/azure-818ecf1c-8be127a4-83cf500b-4413873e-642050dd.mp3,media/azure-17c83a40-b2a35c5c-3188c20b-6af4bbe5-2528263d.mp3
jdm. etwas leihen,to lend something to someone,Kannst du mir bitte 10 Euro leihen?,Kannst du mir bitte 10 Euro leihen?,Kannst du mir bitte 10 Euro __?,,media/azure-022d7342-4d1dcb17-d288a9d0-74292e1a-be5f3934.mp3,media/azure-d47031a1-4c536b01-415561d0-ddb10fab-0da70cd2.mp3
jdm. etwas zurückgeben,to give something back to someone,Ich werde dir das Buch morgen zurückgeben.,Ich werde dir das Buch morgen zurückgeben.,Ich werde dir das Buch morgen __.,,media/azure-6eb8d5d7-da6c031c-bc948459-98f959bd-1f74b917.mp3,media/azure-c97780fc-aed30510-93a944d1-e234ec55-e4154433.mp3
Geld sparen,to save money,"Es ist wichtig, regelmäßig Geld zu sparen.","Es ist wichtig, regelmäßig Geld zu sparen.","Es ist wichtig, regelmäßig __ zu __.",,media/azure-3d7d7fee-d79154e2-09426e08-1cf534dc-5434e585.mp3,media/azure-1b114784-b90d2869-fcd9959f-c453aa7e-7b9909a8.mp3
gewinnen,to win,Er hat im Lotto gewonnen.,Er hat im Lotto gewonnen.,Er hat im Lotto __.,,media/azure-ca78485a-cb4ba136-48e7d1cc-4a30d782-be7bced2.mp3,media/azure-13d49389-7d3eb38c-bbb3c21e-690cc3bc-0bcd6a89.mp3
Geld ausgeben,to spend money,Sie gibt viel Geld für Kleidung aus.,Sie gibt viel Geld für Kleidung aus.,Sie __ viel __ für Kleidung __.,,media/azure-9e76f50b-45741aa6-4d1658dc-885f2d53-0bcd0c18.mp3,media/azure-9faf6c6c-99226517-92fd15b0-062788ae-8940b809.mp3
jdm. etwas wiedergeben,to give something back to someone,Kannst du mir das Buch wiedergeben?,Kannst du mir das Buch wiedergeben?,Kannst du mir das Buch __?,,media/azure-27171f19-060741ef-2fba3401-bc6423ed-f1eccd9a.mp3,media/azure-8a97b781-03017552-ed15c89c-a9f0248d-6ecc67a4.mp3
"die Bankfiliale, die Bankfilialen",bank branch,Ich muss zur Bankfiliale in der Stadtmitte gehen.,Ich muss zur Bankfiliale in der Stadtmitte gehen.,Ich muss zur __ in der Stadtmitte gehen.,,media/azure-19c03b39-254da9db-0a06cd02-f43663b5-cf59002a.mp3,media/azure-f537d884-a49b8db9-93044500-f0576d37-401d0c8f.mp3
das Glück,luck,Manchmal braucht man einfach Glück.,Manchmal braucht man einfach Glück.,Manchmal braucht man einfach __.,,media/azure-5f62148e-bc3089b5-ccad78d3-e0976405-8a80d82b.mp3,media/azure-d24af3f0-98f44d47-da8cb8ad-7388a6ea-daee221b.mp3
glücklich,happy,Sie ist sehr glücklich über ihren neuen Job.,Sie ist sehr glücklich über ihren neuen Job.,Sie ist sehr __ über ihren neuen Job.,,media/azure-5a496772-1a0d8f38-79df3073-e4cafdee-c4885804.mp3,media/azure-2c9ffebb-2c355ba6-b4797eba-595cc582-ec4d12ad.mp3
reich,rich,"Er träumt davon, reich zu werden.","Er träumt davon, reich zu werden.","Er träumt davon, __ zu werden.",,media/azure-a61eaf31-05f55d0a-a8f2bab7-a8cd3e71-621646a0.mp3,media/azure-dd54ed09-d946d017-3915cad1-77abd4ac-0a3e4eb4.mp3
arm,poor,Viele Menschen auf der Welt sind arm.,Viele Menschen auf der Welt sind arm.,Viele Menschen auf der Welt sind __.,,media/azure-79a29ce9-f369023c-34b532fb-30caef35-730948a4.mp3,media/azure-f0bc4b4c-e35c7e48-70b3ec18-64934558-aaf10fee.mp3
"der Kontoauszug, die Kontoauszüge",bank statement,Du solltest regelmäßig deinen Kontoauszug überprüfen.,Du solltest regelmäßig deinen Kontoauszug überprüfen.,Du solltest regelmäßig deinen __ überprüfen.,,media/azure-bbf03116-b98242c9-f7aede40-238b12dc-c8906c4d.mp3,media/azure-cd00bbb0-08d23c6f-f312a783-4a7163dc-2bd543e7.mp3
das Onlinebanking,online banking,Onlinebanking macht das Überweisen von Geld einfach.,Onlinebanking macht das Überweisen von Geld einfach.,__ macht das Überweisen von Geld einfach.,,media/azure-c90231f0-0840ad32-6ba68dbd-62ebe5e1-b1f07fd5.mp3,media/azure-bf7ea8c1-5bd5926c-b626fb94-f618b34f-f97f471e.mp3
"der Vorteil, die Vorteile",advantage,Ein großer Vorteil dieses Produkts ist der günstige Preis.,Ein großer Vorteil dieses Produkts ist der günstige Preis.,Ein großer __ dieses Produkts ist der günstige Preis.,,media/azure-bd9f4fe4-d1d5e505-9c43e4ff-72966de3-a7a8b932.mp3,media/azure-49db64ab-89799cc9-77c1678f-66f6fba4-95887d30.mp3
fremd,foreign,Sie spricht eine fremde Sprache.,Sie spricht eine fremde Sprache.,Sie spricht eine __ Sprache.,,media/azure-f29cfa64-2e146c73-35a7919e-5592ccb3-c36da7a0.mp3,media/azure-79ea77fd-477a895b-5b9ecc1c-f78482c6-c2b8d782.mp3
"die Geheimzahl, die Geheimzahlen",PIN,Vergiss nicht deine Geheimzahl einzugeben.,Vergiss nicht deine Geheimzahl einzugeben.,Vergiss nicht deine __ einzugeben.,,media/azure-a7dca4b5-e16daf62-b4098f25-be8fe658-63a9994d.mp3,media/azure-1da6fff5-79e568b0-ae8e6ba9-dd79e0cb-4801db2f.mp3
zum Beispiel,for example,"Zum Beispiel, du könntest ins Kino gehen.","Zum Beispiel, du könntest ins Kino gehen.","__, du könntest ins Kino gehen.",,media/azure-8991f59e-f307b837-33ebabeb-3986cb5b-6777e635.mp3,media/azure-3e2864ba-5f0c12b7-61a96288-ab5bfc16-bdc94738.mp3
IBAN,International Bank Account Number,Ich habe die IBAN für die Überweisung eingegeben.,Ich habe die IBAN für die Überweisung eingegeben.,Ich habe __ für die Überweisung eingegeben.,,media/azure-28abe047-54736538-34e1fd50-5cc78e52-c9b22f79.mp3,media/azure-4e87c8b6-a475d3c3-666e600c-5f9c9067-64d80d80.mp3
BIC,Bank Identifier Code,Der BIC-Code ist auf dem Kontoauszug zu finden.,Der BIC-Code ist auf dem Kontoauszug zu finden.,__-Code ist auf dem Kontoauszug zu finden.,,media/azure-aa3b7969-edeff037-649843cb-53fb9f90-ed955120.mp3,media/azure-a8c6882c-36fe9d83-9226b2dd-8ec5c646-dc452175.mp3
Zahlungsempfänger,payee,Der Zahlungsempfänger muss die Rechnung bestätigen.,Der Zahlungsempfänger muss die Rechnung bestätigen.,__ muss die Rechnung bestätigen.,,media/azure-bd728fdf-ca67fd0f-d20557f9-35a7b611-887300aa.mp3,media/azure-3b586b6d-ca84e17f-cfd70afd-11584b71-c0f9ccbb.mp3
Verwendungszweck,purpose of use,Geben Sie den Verwendungszweck der Überweisung an.,Geben Sie den Verwendungszweck der Überweisung an.,Geben Sie den __ der Überweisung an.,,media/azure-724098dd-fde4b5f2-efa33b50-daefe3dc-8cbd1d8c.mp3,media/azure-e8c33556-99aa7a17-e4cf5468-029c59c4-0b2ca614.mp3
"Kontoinhaber, Kontoinhaberin",account holder,Der Kontoinhaber muss die Bankkarte sperren lassen.,Der Kontoinhaber muss die Bankkarte sperren lassen.,__ muss die Bankkarte sperren lassen.,,media/azure-57797b28-6ce322f8-7609d71f-6b228b71-73d84717.mp3,media/azure-776b602a-dad2725b-df818d29-ab428a26-f44e83dd.mp3
"Kreditinstitut, Kreditinstitute",credit institution,Das Kreditinstitut stellt den Kontoauszug aus.,Das Kreditinstitut stellt den Kontoauszug aus.,__ stellt den Kontoauszug aus.,,media/azure-b06610a9-9120492e-8151a1a8-45db7903-012a58df.mp3,media/azure-eb67540a-41ba9cbb-51f35976-52bca64c-7809f74f.mp3
freischalten,to unlock,Ich muss meine Karte freischalten lassen.,Ich muss meine Karte freischalten lassen.,Ich muss meine Karte __ lassen.,,media/azure-f7471023-4ea611dc-69b9227a-5f12efd1-df0342c2.mp3,media/azure-7ad4a67d-3e5038a3-24c19609-d931bbb8-6f4694f7.mp3
einloggen,to log in,Du kannst dich in dein Konto einloggen.,Du kannst dich in dein Konto einloggen.,Du kannst dich in dein Konto __.,,media/azure-2d8a6054-392be80b-89d4a55b-4ff51056-1d8665ae.mp3,media/azure-1e393e75-eece20b5-55b55674-2d4e8e29-e706db22.mp3
"TAN, TANs",Transaction Authentication Number,Gib die TAN zur Bestätigung ein.,Gib die TAN zur Bestätigung ein.,Gib __ zur Bestätigung ein.,,media/azure-87a8f2c2-5a270a2e-e2d408cc-ee2c0ea7-b11c5c16.mp3,media/azure-c0875d85-05886a5e-c7813ee5-4efa1d17-1bf52fde.mp3
sicher,safe,Deine Daten sind auf dieser Website sicher.,Deine Daten sind auf dieser Website sicher.,Deine Daten sind auf dieser Website __.,,media/azure-15f81f09-cd61ace9-dee0eb55-ca041466-9251a35f.mp3,media/azure-fbda57d1-f22904e8-340cb9ca-c300345b-26ed4ad7.mp3
Bankkarte sperren,to block a bank card,Ich muss meine Bankkarte sperren lassen.,Ich muss meine Bankkarte sperren lassen.,Ich muss meine __  lassen.,,media/azure-002b7516-3948671a-53af0d96-f323b6d6-1ae4025e.mp3,media/azure-74629633-8b871b99-6a32e562-7aefd2da-206c693c.mp3
Bankkarte entsperren,to unblock a bank card,Der Kunde möchte seine Bankkarte entsperren.,Der Kunde möchte seine Bankkarte entsperren.,Der Kunde möchte seine __ .,,media/azure-5b357868-17dd573e-b838b446-c04880a2-53b86601.mp3,media/azure-1135679e-472e37f9-048885ad-3a37cfa9-9acaa80a.mp3
wiederfinden,to find again,Ich habe meinen Schlüssel wiedergefunden.,Ich habe meinen Schlüssel wiedergefunden.,Ich habe meinen Schlüssel __.,,media/azure-813ca96e-e35dd62c-fe1e1a11-1b46920f-b6605271.mp3,media/azure-a696fbe1-6da8eb4b-51bb6a2d-45f8c6c6-42a7b15d.mp3
benutzen,to use,Du darfst mein Handy benutzen.,Du darfst mein Handy benutzen.,Du darfst mein Handy __.,,media/azure-0287dfbc-369c9e8b-86ee86e3-f1625982-e465be25.mp3,media/azure-55667de0-86413413-e671c384-db49b19e-5e06bb84.mp3
"Verlust, Verluste",loss,Der Verlust der Bankkarte wurde sofort gemeldet.,Der Verlust der Bankkarte wurde sofort gemeldet.,__ der Bankkarte wurde sofort gemeldet.,,media/azure-2e3e4d2f-2eac55f2-1f463e77-c56b51f7-093377a8.mp3,media/azure-86819fc6-eb78e26e-c0d10da0-9422502d-4ababa3f.mp3
jdm. etwas mitteilen,to inform someone,Sie teilte ihm die Neuigkeiten mit.,Sie teilte ihm die Neuigkeiten mit.,Sie __ ihm die Neuigkeiten __.,,media/azure-b49444f6-36d43d29-e1ccf9cd-e1c7a133-eb785d92.mp3,media/azure-302616ed-12878ce4-591ecc7f-1b4f64cf-6c6073ed.mp3
Geheimzahl eingeben,to enter a PIN,Du musst deine Geheimzahl eingeben.,Du musst deine Geheimzahl eingeben.,Du musst deine __.,,media/azure-32a92377-8c9536c8-3a2c00b7-1f20e394-06f964ee.mp3,media/azure-9eb07e80-20fc18d6-6d2644cf-b2de954e-58f8557e.mp3
schieben,to push,Sie schob das Auto aus dem Weg.,Sie schob das Auto aus dem Weg.,Sie __ das Auto aus dem Weg.,,media/azure-4a3b757d-4bc6c906-eb43ca94-d9a78d01-61fc476e.mp3,media/azure-b48b685c-de93fbf7-7b763fec-12f04199-cfb24e72.mp3
auswählen,to select,Bitte wählen Sie die gewünschte Sprache aus.,Bitte wählen Sie die gewünschte Sprache aus.,Bitte __ Sie die gewünschte Sprache __.,,media/azure-05f9703c-0c17030b-b38dc57a-7c60e65a-a525e201.mp3,media/azure-6e625629-4eea6cd8-f08f0e4d-79b7823f-d8236aba.mp3
herausnehmen,to take out,Kannst du bitte das Buch aus der Tasche herausnehmen?,Kannst du bitte das Buch aus der Tasche herausnehmen?,Kannst du bitte das Buch aus der Tasche __?,,media/azure-4ffd8121-7bbae215-46675449-cc9020c2-727551e4.mp3,media/azure-bc008879-524a4e2f-cbc8381c-89d43122-d69f98a9.mp3
"Kontostand, Kontostände",account balance,Überprüfe deinen Kontostand regelmäßig.,Überprüfe deinen Kontostand regelmäßig.,Überprüfe deinen __ regelmäßig.,,media/azure-0680d02d-3ced00a5-27534d49-3639ea4b-b861eb16.mp3,media/azure-4897b1ed-dfff5388-63bb6d62-a4fe25a6-a91c7633.mp3
nachlesen,to read up on,Du kannst die Informationen im Handbuch nachlesen.,Du kannst die Informationen im Handbuch nachlesen.,Du kannst die Informationen im Handbuch __.,,media/azure-2bb9cd02-5e5e2028-689e19bc-6f59c476-c63b0d90.mp3,media/azure-7b89f0cd-3a6c7b0f-451f9660-0e4517a8-42ee4172.mp3
"Bankräuber, Bankräuberin",bank robber,Der Bankräuber wurde festgenommen.,Der Bankräuber wurde festgenommen.,__ wurde festgenommen.,,media/azure-3224f7f1-64bc4fe0-76111de1-84ecf940-0428424a.mp3,media/azure-bf79a29a-8a621e98-45409940-7806459b-ec9abedb.mp3
bedrohen,to threaten,Der Mann hat die Kassiererin bedroht.,Der Mann hat die Kassiererin bedroht.,Der Mann hat die Kassiererin __.,,media/azure-10e6cb46-9030509e-cd2efc01-621831d4-90c54380.mp3,media/azure-f9d1b8da-f43d8504-577c4146-020b0e02-95b95047.mp3
Ruhe bewahren,to remain calm,In einer Notlage musst du Ruhe bewahren.,In einer Notlage musst du Ruhe bewahren.,In einer Notlage musst du __.,,media/azure-0c1dfc1e-b78da1d0-abe36c4f-940a2d28-27569c44.mp3,media/azure-47018aeb-16b737b8-70eb52b9-466d3bb4-b51cd905.mp3
"Zeuge, Zeugin",witness,Der Zeuge gab eine Aussage vor Gericht.,Der Zeuge gab eine Aussage vor Gericht.,__ gab eine Aussage vor Gericht.,,media/azure-9c4bf8b7-04e17c66-93ee29fe-dd73d829-78645f86.mp3,media/azure-e5523fdc-8470dba4-bf2fa4a4-9f375a1e-e52156f2.mp3
"Trickbetrüger, Trickbetrügerin",con artist,Der Trickbetrüger hat den Rentner betrogen.,Der Trickbetrüger hat den Rentner betrogen.,__ hat den Rentner betrogen.,,media/azure-7cc20d4e-1fdf1ab5-4983e1fb-d1817cd2-c78b4a7f.mp3,media/azure-dfa3e3a3-d7acfcf9-925b7f4b-d5f286c0-2bb7075d.mp3
behaupten,to claim,"Sie behauptet, die Wahrheit zu wissen.","Sie behauptet, die Wahrheit zu wissen.","Sie __, die Wahrheit zu wissen.",,media/azure-31a880d1-b405a0bc-db323b81-159e2301-42385a11.mp3,media/azure-b7facb57-3988a214-e5e59514-41d3858c-e2e760de.mp3
"Opfer, Opfer",victim,Das Opfer der Straftat wurde vernommen.,Das Opfer der Straftat wurde vernommen.,__ der Straftat wurde vernommen.,,media/azure-508a416c-255c255d-972b2333-a30587f1-5d315064.mp3,media/azure-f753097b-92c4e02e-002d3ae7-bc1c8c4d-2c0051de.mp3
Verwandte,relative,Meine Verwandten kommen aus Berlin.,Meine Verwandten kommen aus Berlin.,Meine __ kommen aus Berlin.,,media/azure-e44eec57-d51deb54-7e53d6f9-d172d48c-7627e542.mp3,media/azure-ab84c882-43f80b39-006642ab-bf7871a0-9a3744f1.mp3
vierblättrige Kleeblatt,four-leaf clover,Er fand ein vierblättriges Kleeblatt im Garten.,Er fand ein vierblättriges Kleeblatt im Garten.,Er fand ein __ im Garten.,,media/azure-c95e5bec-09586d89-1d83f32b-2e9c91ea-028bb239.mp3,media/azure-18a05733-3facd905-cd7f24ae-2e79e4ed-41bf2a5e.mp3
Glücksschwein,lucky pig,Das Glücksschwein wird oft als Glücksbringer verwendet.,Das Glücksschwein wird oft als Glücksbringer verwendet.,__ wird oft als Glücksbringer verwendet.,,media/azure-ddbb2bd2-84af4621-d623ec1d-de686542-188a3ad2.mp3,media/azure-821849c2-8bfeb3a1-f1565899-0a27444f-b97d3632.mp3
"Hufeisen, Hufeisen",horseshoe,Ein Hufeisen soll Glück bringen.,Ein Hufeisen soll Glück bringen.,Ein __ soll Glück bringen.,,media/azure-e60b41fd-d8e5b463-00311a75-eb7cc7b1-ea9bba6f.mp3,media/azure-b922ac8e-88adbdef-c99db4dc-8222564f-d6c2d324.mp3
Schornsteinfeger,chimney sweep,Der Schornsteinfeger kam heute Morgen.,Der Schornsteinfeger kam heute Morgen.,__ kam heute Morgen.,,media/azure-f7308dc2-06bdec90-bb4842a4-a61c0fc4-00c685c7.mp3,media/azure-5a03c38a-c3352fc6-8ac88cf6-471e08c3-797948b1.mp3
Glückscent,lucky coin,Er trug immer einen Glückscent bei sich.,Er trug immer einen Glückscent bei sich.,Er trug immer einen __ bei sich.,,media/azure-ea108e51-99785c4d-c7cacee1-8b896c92-bfc3aea7.mp3,media/azure-6d222abd-734c9ff2-85b7734c-310956d3-42827bc7.mp3
"Marienkäfer, Marienkäfer",ladybird,Der Marienkäfer landete auf meiner Hand.,Der Marienkäfer landete auf meiner Hand.,__ landete auf meiner Hand.,,media/azure-5487629d-bff7734d-3787b72a-833f07e0-b2ca865d.mp3,media/azure-f409550c-a9b4548e-3e60fb0e-a25c1b44-071f4af9.mp3
"Staat, Staaten","state, states",Der Staat hat neue Gesetze erlassen.,Der Staat hat neue Gesetze erlassen.,__ hat neue Gesetze erlassen.,,media/azure-7ce8bdd7-e36e8516-880290c1-e4659069-5eade8dc.mp3,media/azure-c1301d48-7d7e9968-b5ebc3d4-86e9472b-e3585a29.mp3
Saxofon spielen,to play the saxophone,Er kann sehr gut Saxofon spielen.,Er kann sehr gut Saxofon spielen.,Er kann sehr gut __ spielen.,,media/azure-ec768315-2a4a74cb-41dfdc64-3cd62488-968498a9.mp3,media/azure-3c3b5757-b70eed40-da0fa022-7301cbb1-829346a1.mp3
malen,to paint,Sie malt ein schönes Bild.,Sie malt ein schönes Bild.,Sie __ ein schönes Bild.,,media/azure-39fe7d1e-d9337bdf-de3e4278-f750da8f-bab6e764.mp3,media/azure-aaae672f-fa497d60-0735a1bb-c46a8e19-1c9280a6.mp3
Tango tanzen,to dance the tango,Wir haben letzten Freitag Tango getanzt.,Wir haben letzten Freitag Tango getanzt.,Wir haben letzten Freitag __.,,media/azure-b3c251f9-798a4a10-122bd85b-fff480ff-17ff550f.mp3,media/azure-4c461f86-dfa89797-5fe2e529-a97f6150-400da428.mp3
stricken,to knit,Meine Oma strickt einen Pullover.,Meine Oma strickt einen Pullover.,Meine Oma __ einen Pullover.,,media/azure-948f70b1-98b929c4-c761f2fe-80b7e1e6-e05fa556.mp3,media/azure-d3ecbd62-127e61de-a65347b5-3d5f0d80-59eb52bc.mp3
Theater spielen,to act in theater,"Wir lernen in der Schule, wie man Theater spielt.","Wir lernen in der Schule, wie man Theater spielt.","Wir lernen in der Schule, wie man __.",,media/azure-e1c03e50-74fd628f-73498db5-61173217-ad59a8cd.mp3,media/azure-4a1165a1-7880df01-dad7dbe8-5865e1f3-ade8a2da.mp3
"Band, Bands",band,Die Band spielt heute Abend ein Konzert.,Die Band spielt heute Abend ein Konzert.,__ spielt heute Abend ein Konzert.,,media/azure-ab36085e-443b5e86-e3b42612-be68a637-e5d2c90b.mp3,media/azure-60f85cbf-3b0e77a2-9de305ff-46644f27-b0c4ad6a.mp3
Spaß machen,to be fun,Der Ausflug hat sehr viel Spaß gemacht.,Der Ausflug hat sehr viel Spaß gemacht.,Der Ausflug hat sehr viel __.,,media/azure-da1aa557-e7340d9b-ccbc185a-3016412b-1487b5bc.mp3,media/azure-d4c592a0-c0b03113-4b177e0e-78fc3d95-3885fec8.mp3
Musik machen,to make music,Wir machen Musik zusammen in der Band.,Wir machen Musik zusammen in der Band.,Wir __ zusammen in der Band.,,media/azure-10352146-ab8184f5-2bf2ed12-54e6eda5-bda323e8.mp3,media/azure-f75cf52b-1e0742cc-95597397-5bfe4d5f-9e21c032.mp3
"Schlagzeug, Schlagzeuge","drum, drums",Er spielt Schlagzeug in einer Rockband.,Er spielt Schlagzeug in einer Rockband.,Er spielt __ in einer Rockband.,,media/azure-c84c7c75-c669f3ff-ae26594f-f1511e82-bd51aa95.mp3,media/azure-8fb8d7c1-a641bd4a-5abfb786-889ab905-fcc06d39.mp3
"Trommel, Trommeln",drum,Die Trommeln ertönten laut im Raum.,Die Trommeln ertönten laut im Raum.,__ ertönten laut im Raum.,,media/azure-f9d6bd25-acbeff78-e741dffe-f6defc32-3cc121e5.mp3,media/azure-beb91c44-d4d27866-20461771-9f470138-6adb3e7f.mp3
"Klavier, Klaviere",piano,Sie spielt sehr gut Klavier.,Sie spielt sehr gut Klavier.,Sie spielt sehr gut __.,,media/azure-0aa840bd-4567bfca-755bb160-4e06af6f-c9b72a3b.mp3,media/azure-1ed53a69-9f71fb64-630db9f4-f000b313-826ff4e2.mp3
"Geige, Geigen",violin,Der Geiger spielt ein schönes Stück.,Der Geiger spielt ein schönes Stück.,__ spielt ein schönes Stück.,,media/azure-f856ce1a-2cb84909-af00ef96-aa071d3d-babbad67.mp3,media/azure-ee5030bf-84fb77cd-94efd82f-7b03ed27-4f2ebe92.mp3
auftreten,to perform,Die Band wird morgen Abend auftreten.,Die Band wird morgen Abend auftreten.,Die Band wird morgen Abend __.,,media/azure-80225aeb-f46787d8-c4276ded-1b63c38b-f3faf55c.mp3,media/azure-88bd6c10-12efaf47-46fbc8aa-10bd8d73-1617336a.mp3
"Stimme, Stimmen",voice,Seine Stimme klingt sehr melodisch.,Seine Stimme klingt sehr melodisch.,Seine __ klingt sehr melodisch.,,media/azure-e52a2923-c4abeb74-831e2224-74a917fb-b4d93b8c.mp3,media/azure-8fbcd303-e262ad8c-5e4615e6-d8656b8c-b84e2344.mp3
"Sänger, Sängerin",singer,Der Sänger hat das Publikum begeistert.,Der Sänger hat das Publikum begeistert.,__ hat das Publikum begeistert.,,media/azure-b2be2893-ce66d0af-ffdf5b63-1c24c774-5dbc1a52.mp3,media/azure-00de915f-c22af92d-2b8488f1-c7e11dc4-c9f8138d.mp3
Leute,people,Die Leute warten an der Bushaltestelle.,Die Leute warten an der Bushaltestelle.,__ warten an der Bushaltestelle.,,media/azure-a76cd8e1-099e2bc4-4ed95d17-034bfc82-6a36c945.mp3,media/azure-8a44323a-c3164069-73964868-9dc5aa70-579fc758.mp3
Freizeit,leisure time,In meiner Freizeit gehe ich gerne spazieren.,In meiner Freizeit gehe ich gerne spazieren.,In meiner __ gehe ich gerne spazieren.,,media/azure-e66ffb61-1ec805f0-182f6921-9b348356-0cbc94f4.mp3,media/azure-fd9f1354-5c6354ec-6db27fd7-8a668a83-64c12370.mp3
Zeit verbringen,to spend time,Ich möchte mehr Zeit mit meiner Familie verbringen.,Ich möchte mehr Zeit mit meiner Familie verbringen.,Ich möchte mehr __ mit meiner Familie __.,,media/azure-0f629196-953e5e22-7b80dc4c-8a278c61-31c2dc30.mp3,media/azure-7930abc5-131098c7-60c1e50c-3cd77a78-dabc7cdd.mp3
das Leben,life,Das Leben ist manchmal schwierig.,Das Leben ist manchmal schwierig.,__ ist manchmal schwierig.,,media/azure-bf84a8d9-86117925-28b0d73d-614e7177-606d1b36.mp3,media/azure-84caca35-aa756c17-ab42ac32-e665d3e3-8a812ab0.mp3
anstrengend,exhausting,Der Arbeitstag war sehr anstrengend.,Der Arbeitstag war sehr anstrengend.,Der Arbeitstag war sehr __.,,media/azure-f3441e16-50e360b4-53f0364c-be56c14b-984a8e62.mp3,media/azure-fd2b390b-270ff155-4ddaba16-ce9d604f-cdaa8b33.mp3
"die Kirmes, die Kirmessen",fair,Wir gehen morgen auf die Kirmes.,Wir gehen morgen auf die Kirmes.,Wir gehen morgen auf __.,,media/azure-9683306f-dbc2567f-1499d4da-03a1d14f-ffb5ea7f.mp3,media/azure-ec51e101-b45864ca-7463fddc-e847cfce-27a164b8.mp3
